Date,Day_of_Week,Lecture_Number,Start_Time,End_Time,Subject,Faculty_ID,Semester,Branch,Section,Classroom,Total_Enrolled_Students,Students_Present,Attendance_Percentage,Previous_Lecture_Attendance_Pct,Gap_Since_Previous_Lecture_Hours,Practical_or_Theory,Internal_Test_Week,Assignment_Due,Holiday_Before_After,Weather,Special_Event,Faculty_Experience_Years,Is_First_Lecture_Of_Day,Calculated_Attendance_Pct,Day_Of_Semester,Week_Number,Days_Since_Last_Holiday,Consecutive_Lecture_Count,Rolling_Avg_Prev_3_Lectures,Time_Of_Day,Week_Before_Exam
2026-06-15,Monday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,Mca,A,Computer Lab,103,61,59.22,-1.0,0.0,Theory,No,No,No,Cloudy,No,9,1,59.22,1,1,-1,1,-1.0,Morning,Yes
2026-06-15,Monday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,Mca,B,Computer Lab,101,64,63.37,-1.0,0.0,Theory,No,No,No,Cloudy,No,9,1,63.37,1,1,-1,6,59.22,Morning,Yes
2026-06-15,Monday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,Mca,A,Computer Lab,103,62,60.19,59.22,0.0,Theory,No,No,No,Cloudy,No,9,0,60.19,1,1,-1,2,61.295,Morning,Yes
2026-06-15,Monday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,Mca,B,Computer Lab,101,53,52.48,63.37,0.0,Theory,No,No,No,Rainy,No,9,0,52.48,1,1,-1,7,60.92666666666667,Morning,Yes
2026-06-15,Monday,3,10:15:00,11:15:00,Software Testing And Quality Assurance,F_DPY,3,Mca,A,Computer Lab,103,77,74.76,60.19,0.0,Theory,No,No,No,Sunny,No,6,0,74.76,1,1,-1,3,58.68,Morning,Yes
2026-06-15,Monday,3,10:15:00,11:15:00,Software Testing And Quality Assurance,F_DPY,3,Mca,B,Computer Lab,101,51,50.5,52.48,0.0,Theory,No,No,No,Rainy,No,6,0,50.5,1,1,-1,8,62.47666666666667,Morning,Yes
2026-06-15,Monday,4,11:15:00,12:15:00,Principles Of Cloud Management And Security,F_KSD,3,Mca,A,Computer Lab,103,60,58.25,74.76,0.0,Theory,No,No,No,Rainy,No,7,0,58.25,1,1,-1,4,59.24666666666667,Morning,Yes
2026-06-15,Monday,4,11:15:00,12:15:00,Principles Of Cloud Management And Security,F_KSD,3,Mca,B,Computer Lab,101,51,50.5,50.5,0.0,Theory,No,No,No,Sunny,No,7,0,50.5,1,1,-1,9,61.169999999999995,Morning,Yes
2026-06-15,Monday,5,13:30:00,15:30:00,Innovation And Entrepreneurship Development,F_JSP,3,Mca,A,Computer Lab,103,28,27.18,58.25,1.25,Theory,No,No,No,Sunny,Yes,12,0,27.18,1,1,-1,5,53.083333333333336,Before Lunch,Yes
2026-06-15,Monday,5,13:30:00,15:30:00,Innovation And Entrepreneurship Development,F_JSP,3,Mca,B,Computer Lab,101,54,53.47,50.5,1.25,Theory,No,No,No,Rainy,No,12,0,53.47,1,1,-1,10,45.31,Before Lunch,Yes
