Date,Day_of_Week,Lecture_Number,Start_Time,End_Time,Subject,Faculty_ID,Semester,Branch,Section,Classroom,Total_Enrolled_Students,Students_Present,Attendance_Percentage,Previous_Lecture_Attendance_Pct,Gap_Since_Previous_Lecture_Hours,Practical_or_Theory,Internal_Test_Week,Assignment_Due,Holiday_Before_After,Weather,Special_Event,Faculty_Experience_Years
15-06-2026,Monday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,MCA,A,Computer Lab,103,61,59.22,,,Theory,No,No,No,Cloudy,No,9
15-06-2026,Monday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,MCA,A,Computer Lab,103,62,60.19,59.22,0,Theory,No,No,No,Cloudy,No,9
15-06-2026,Monday,3,10:15:00,11:15:00,Software Testing and Quality Assurance,F_DPY,3,MCA,A,Computer Lab,103,77,74.76,60.19,0,Theory,No,No,No,Sunny,No,6
15-06-2026,Monday,4,11:15:00,12:15:00,Principles of Cloud Management and Security,F_KSD,3,MCA,A,Computer Lab,103,60,58.25,74.76,0,Theory,No,No,No,Rainy,No,7
15-06-2026,Monday,5,13:30:00,15:30:00,Innovation and Entrepreneurship Development,F_JSP,3,MCA,A,Computer Lab,103,28,27.18,58.25,1.25,Theory,No,No,No,Sunny,Yes,12
15-06-2026,Monday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,MCA,B,Computer Lab,101,64,63.37,,,Theory,No,No,No,Cloudy,No,9
15-06-2026,Monday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,MCA,B,Computer Lab,101,53,52.48,63.37,0,Theory,No,No,No,Rainy,No,9
15-06-2026,Monday,3,10:15:00,11:15:00,Software Testing and Quality Assurance,F_DPY,3,MCA,B,Computer Lab,101,51,50.5,52.48,0,Theory,No,No,No,Rainy,No,6
15-06-2026,Monday,4,11:15:00,12:15:00,Principles of Cloud Management and Security,F_KSD,3,MCA,B,Computer Lab,101,51,50.5,50.5,0,Theory,No,No,No,Sunny,No,7
15-06-2026,Monday,5,13:30:00,15:30:00,Innovation and Entrepreneurship Development,F_JSP,3,MCA,B,Computer Lab,101,54,53.47,50.5,1.25,Theory,No,No,No,Rainy,No,12
16-06-2026,Tuesday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,MCA,A,Computer Lab,103,72,69.9,,,Theory,No,No,Before,Sunny,No,9
16-06-2026,Tuesday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,MCA,A,Computer Lab,103,75,72.82,69.9,0,Theory,No,No,Before,Sunny,No,9
16-06-2026,Tuesday,3,10:15:00,11:15:00,Data Science & Machine Learning,F_SP,3,MCA,A,Computer Lab,103,66,64.08,72.82,0,Theory,No,No,Before,Cloudy,No,8
16-06-2026,Tuesday,4,11:15:00,12:15:00,Software Testing and Quality Assurance,F_DPY,3,MCA,A,Computer Lab,103,80,77.67,64.08,0,Theory,No,No,Before,Cloudy,No,6
16-06-2026,Tuesday,5,13:30:00,15:30:00,Industry Readiness Program,F_Visiting,3,MCA,A,Computer Lab,103,75,72.82,77.67,1.25,Theory,No,No,Before,Sunny,No,4
16-06-2026,Tuesday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,MCA,B,Computer Lab,101,64,63.37,,,Theory,No,Yes,Before,Cloudy,No,9
16-06-2026,Tuesday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,MCA,B,Computer Lab,101,81,80.2,63.37,0,Theory,No,No,Before,Sunny,No,9
16-06-2026,Tuesday,3,10:15:00,11:15:00,Data Science & Machine Learning,F_SP,3,MCA,B,Computer Lab,101,69,68.32,80.2,0,Theory,No,No,Before,Cloudy,No,8
16-06-2026,Tuesday,4,11:15:00,12:15:00,Software Testing and Quality Assurance,F_DPY,3,MCA,B,Computer Lab,101,56,55.45,68.32,0,Theory,No,No,Before,Rainy,No,6
16-06-2026,Tuesday,5,13:30:00,15:30:00,Industry Readiness Program,F_Visiting,3,MCA,B,Computer Lab,101,69,68.32,55.45,1.25,Theory,No,No,Before,Sunny,No,4
17-06-2026,Wednesday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,MCA,A,Computer Lab,103,61,59.22,,,Theory,No,No,Before,Rainy,No,9
17-06-2026,Wednesday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,MCA,A,Computer Lab,103,80,77.67,59.22,0,Theory,No,No,Before,Cloudy,No,9
17-06-2026,Wednesday,3,10:15:00,11:15:00,Data Science & Machine Learning,F_SP,3,MCA,A,Computer Lab,103,53,51.46,77.67,0,Theory,No,No,Before,Rainy,No,8
17-06-2026,Wednesday,4,11:15:00,12:15:00,Principles of Cloud Management and Security,F_KSD,3,MCA,A,Computer Lab,103,90,87.38,51.46,0,Theory,No,No,Before,Sunny,No,7
17-06-2026,Wednesday,5,13:30:00,15:30:00,Software Testing and Quality Assurance,F_DPY,3,MCA,A,Computer Lab,103,59,57.28,87.38,1.25,Practical,No,No,Before,Sunny,No,6
17-06-2026,Wednesday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,MCA,B,Computer Lab,101,21,20.79,,,Theory,No,Yes,Before,Rainy,No,9
17-06-2026,Wednesday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,MCA,B,Computer Lab,101,68,67.33,20.79,0,Theory,No,Yes,Before,Cloudy,No,9
17-06-2026,Wednesday,3,10:15:00,11:15:00,Data Science & Machine Learning,F_SP,3,MCA,B,Computer Lab,101,82,81.19,67.33,0,Theory,No,No,Before,Rainy,No,8
17-06-2026,Wednesday,4,11:15:00,12:15:00,Principles of Cloud Management and Security,F_KSD,3,MCA,B,Computer Lab,101,74,73.27,81.19,0,Theory,No,No,Before,Cloudy,No,7
17-06-2026,Wednesday,5,13:30:00,15:30:00,Software Testing and Quality Assurance,F_DPY,3,MCA,B,Computer Lab,101,56,55.45,73.27,1.25,Practical,No,No,Before,Rainy,No,6
